medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	ethnicity
1968121000006114	Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census	9t07	9t07.00	976771000000108	Ethnicity
1968131000006112	Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census	9t08	9t08.00	976791000000107	Ethnicity
1968141000006119	Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census	9t09	9t09.00	976811000000108	Ethnicity
1968151000006117	Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census	9t0A	9t0A.00	976831000000100	Ethnicity
1968161000006115	Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census	9t0B	9t0B.00	976851000000107	Ethnicity
1968171000006110	Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census	9t0C	9t0C.00	976871000000103	Ethnicity
1968181000006113	Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens	9t0D	9t0D.00	976891000000104	Ethnicity
1968191000006111	Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011	9t0E	9t0E.00	976911000000101	Ethnicity
1968201000006114	Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens	9t0F	9t0F.00	976931000000109	Ethnicity
1968211000006112	Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census	9t0G	9t0G.00	976951000000102	Ethnicity
1968221000006116	Other ethnic: any other grp - Eng+Wales eth cat 2011 census	9t0H	9t0H.00	976971000000106	Ethnicity
2486161000000112	White - Northern Ireland ethnic category 2011 census	9t10	9t10.00	977351000000100	Ethnicity
1968251000006113	Irish Traveller - Northern Ireland ethnic cat 2011 census	9t11	9t11.00	977371000000109	Ethnicity
